"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"1",2023-07-21,"08:59:48","Western","Ngororero","inanasi","Pineapple","wholesaler","Ngororero","walk"
"2",2023-07-21,"08:59:48","Western","Ngororero","ibitoki(by`imineke","Banana Beer","neighbour_farm","Ngororero","walk"
"3",2023-07-21,"08:59:48","Western","Ngororero","voka","Avocado","neighbour_farm","Ngororero","walk"
"4",2023-07-21,"09:36:17","Western","Ngororero","inyanya","Tomato","wholesaler","Ngororero","walk"
"5",2023-07-21,"09:36:17","Western","Ngororero","ibitunguru","Onion","wholesaler","Ngororero","walk"
"6",2023-07-21,"09:36:17","Western","Ngororero","karoti","Carrot","wholesaler","Ngororero","walk"
"7",2023-07-21,"09:46:59","Western","Ngororero","amatunda","Passionfruit","wholesaler","Ngororero","walk"
"9",2023-07-21,"09:46:59","Western","Ngororero","urusenda","Chilli","wholesaler","Ngororero","walk"
"10",2023-07-21,"10:08:51","Western","Ngororero","amashu","Cabbage","wholesaler","Ngororero","walk"
"11",2023-07-21,"10:08:51","Western","Ngororero","inyanya","Tomato","wholesaler","Ngororero","walk"
"12",2023-07-21,"10:08:51","Western","Ngororero","karoti","Carrot","wholesaler","Ngororero","walk"
"13",2023-07-21,"10:16:56","Western","Ngororero","ibitunguru","Onion","wholesaler","Ngororero","walk"
"14",2023-07-21,"10:16:56","Western","Ngororero","karoti","Carrot","wholesaler","Ngororero","walk"
"15",2023-07-21,"10:16:56","Western","Ngororero","amashu","Cabbage","wholesaler","Ngororero","walk"
"16",2023-07-21,"10:54:29","Western","Ngororero","amateke","Taro","neighbour_farm","Ngororero","walk"
"17",2023-07-21,"10:54:29","Western","Ngororero","ibijumbaby`umweru","Sweet Potatoes White","neighbour_farm","Ngororero","walk"
"18",2023-07-21,"10:54:29","Western","Ngororero","imyumbati","Cassava Root","neighbour_farm","Ngororero","walk"
"19",2023-07-21,"11:08:10","Western","Ngororero","ibijumbaby`umweru","Sweet Potatoes White","neighbour_farm","Ngororero","walk"
"20",2023-07-21,"11:08:10","Western","Ngororero","imyumbati","Cassava Root","neighbour_farm","Ngororero","walk"
"21",2023-07-21,"11:55:36","Western","Ngororero","karoti","Carrot","wholesaler","Ngororero","walk"
"22",2023-07-21,"11:55:36","Western","Ngororero","amashaza","Green Peas","neighbour_farm","Ngororero","walk"
"23",2023-07-21,"11:55:36","Western","Ngororero","inyanya","Tomato","wholesaler","Ngororero","walk"
"24",2023-07-25,"08:25:13","Southern","Huye","soya","Soya Beans","own_farm","Gisagara","bicycle"
"25",2023-07-25,"08:25:13","Southern","Huye","ibishyimbo","Field Beans","own_farm","Gisagara","bicycle"
"26",2023-07-25,"08:31:28","Southern","Huye","amasaka","Sorghum","own_farm","Gisagara","bicycle"
"27",2023-07-25,"08:31:28","Southern","Huye","ibishyimbo","Field Beans","own_farm","Gisagara","bicycle"
"28",2023-07-25,"08:37:35","Southern","Huye","amasaka","Sorghum","own_farm","Nyanza","bicycle,moto"
"29",2023-07-25,"08:37:35","Southern","Huye","ibigori","Maize","own_farm","Nyanza","bicycle,moto"
"30",2023-07-25,"08:37:35","Southern","Huye","ibishyimbo","Field Beans","own_farm","Nyanza","bicycle,moto"
"31",2023-07-25,"08:58:08","Southern","Huye","amashu","Cabbage","own_farm","Huye","walk"
"32",2023-07-25,"09:02:39","Southern","Huye","amashu","Cabbage","own_farm","Huye","walk"
"33",2023-07-25,"09:10:14","Southern","Huye","ibitunguru","Onion","own_farm","Huye","car"
"34",2023-07-25,"09:17:38","Southern","Huye","ibitunguru","Onion","own_farm","Huye","bicycle"
"35",2023-07-25,"09:21:05","Southern","Huye","ibitunguru","Onion","own_farm","Huye","walk"
"36",2023-07-25,"09:21:05","Southern","Huye","urusenda","Chilli","own_farm","Huye","walk"
"37",2023-07-25,"09:28:43","Southern","Huye","ibitoki(byoguteka)","Banana Cooking","own_farm","Huye","bicycle"
"38",2023-07-25,"09:33:45","Southern","Huye","ibitoki(byoguteka)","Banana Cooking","own_farm","Huye","walk"
"39",2023-07-25,"09:36:12","Southern","Huye","ibitoki(byoguteka)","Banana Cooking","own_farm","Huye","walk"
"40",2023-07-25,"09:43:41","Southern","Huye","voka","Avocado","own_farm","Huye","bicycle"
"41",2023-07-25,"09:43:41","Southern","Huye","ibitoki(by`imineke","Banana Beer","own_farm","Huye","bicycle"
"42",2023-07-25,"09:47:43","Southern","Huye","voka","Avocado","own_farm","Huye","walk"
"44",2023-07-25,"09:51:56","Eastern","Ngoma","amasaka","Sorghum","neighbour_farm","Ngoma","bicycle"
"45",2023-07-25,"09:51:56","Eastern","Ngoma","ibigori","Maize","neighbour_farm","Ngoma","bicycle"
"46",2023-07-25,"09:51:56","Eastern","Ngoma","ibishyimbo","Field Beans","neighbour_farm","Ngoma","bicycle"
"47",2023-07-25,"10:03:27","Southern","Huye","inyanya","Tomato","own_farm","Huye","walk"
"48",2023-07-25,"10:03:27","Southern","Huye","karoti","Carrot","own_farm","Huye","walk"
"49",2023-07-25,"10:10:15","Eastern","Ngoma","ibishyimbo","Field Beans","neighbour_farm","Ngoma","walk"
"50",2023-07-25,"10:10:15","Eastern","Ngoma","ibigori","Maize","neighbour_farm","Ngoma","walk"
"51",2023-07-25,"10:10:15","Eastern","Ngoma","amasaka","Sorghum","neighbour_farm","Ngoma","walk"
"52",2023-07-25,"10:16:34","Southern","Huye","inyanya","Tomato","own_farm","Huye","walk"
"53",2023-07-25,"10:16:34","Southern","Huye","urusenda","Chilli","own_farm","Huye","walk"
"54",2023-07-25,"10:16:34","Southern","Huye","karoti","Carrot","own_farm","Huye","walk"
"55",2023-07-25,"10:23:33","Southern","Huye","amatunda","Passionfruit","own_farm","Huye","bicycle,car"
"56",2023-07-25,"10:23:33","Southern","Huye","ibinyomoro","Tree Tomato","own_farm","Huye","bicycle,car,moto"
"57",2023-07-25,"10:34:14","Eastern","Ngoma","ibigori","Maize","neighbour_farm","Ngoma","bicycle,car"
"58",2023-07-25,"10:34:14","Eastern","Ngoma","ibishyimbo","Field Beans","neighbour_farm","Ngoma","bicycle,car"
"59",2023-07-25,"10:34:14","Eastern","Ngoma","amasaka","Sorghum","neighbour_farm","Ngoma","bicycle,car"
"60",2023-07-25,"10:57:59","Southern","Huye","umuceri","Rice","wholesaler","Huye","bicycle"
"61",2023-07-25,"11:00:58","Eastern","Ngoma","inanasi","Pineapple","farm_group","Ngoma","bicycle,moto"
"62",2023-07-25,"11:14:40","Eastern","Ngoma","amatunda","Passionfruit","neighbour_farm","Ngoma","bicycle,moto,walk"
"63",2023-07-25,"11:14:40","Eastern","Ngoma","ibinyomoro","Tree Tomato","neighbour_farm","Ngoma","bicycle,moto,walk"
"64",2023-07-25,"11:22:16","Southern","Huye","imiteja","Faba Beans","own_farm","Huye","bicycle"
"65",2023-07-25,"11:22:16","Southern","Huye","beterave","Beetroot","own_farm","Huye","bicycle"
"66",2023-07-25,"11:22:16","Southern","Huye","inyanya","Tomato","own_farm","Huye","bicycle"
"67",2023-07-25,"11:28:25","Southern","Huye","ibirayi","Potato","wholesaler","Huye","walk"
"68",2023-07-25,"11:37:03","Southern","Huye","ibigori","Maize","own_farm","Huye","bicycle"
"69",2023-07-25,"11:38:28","Eastern","Ngoma","soya","Soya Beans","neighbour_farm","Ngoma","walk"
"70",2023-07-25,"11:42:15","Southern","Huye","ibigori","Maize","own_farm","Huye","walk"
"71",2023-07-25,"11:50:18","Southern","Huye","ubunyobwa","Ground Nuts","own_farm","Huye","bicycle"
"72",2023-07-25,"11:55:23","Eastern","Ngoma","ubunyobwa","Ground Nuts","neighbour_farm","Ngoma","bicycle"
"73",2023-07-25,"11:55:23","Eastern","Ngoma","ingano","Barley","wholesaler","Rwamagana","bicycle"
"74",2023-07-25,"11:55:23","Eastern","Ngoma","uburo","Millet","neighbour_farm","Ngoma","bicycle"
"75",2023-07-25,"12:17:54","Eastern","Ngoma","ibitoki(byoguteka)","Banana Cooking","neighbour_farm","Ngoma","walk"
"76",2023-07-25,"12:23:57","Southern","Huye","amatay`inka","milk","own_farm","Huye","walk"
"77",2023-07-25,"12:30:58","Eastern","Ngoma","ibitoki(byoguteka)","Banana Cooking","neighbour_farm","Ngoma","walk"
"78",2023-07-25,"12:50:02","Southern","Huye","inyamaz`inka","Cow Meat","own_farm","Huye","moto"
"79",2023-07-25,"12:53:13","Eastern","Ngoma","ibijumbaby`umweru","Sweet Potatoes White","neighbour_farm","Ngoma","bicycle,walk"
"80",2023-07-25,"12:53:43","Western","Rusizi","ibigori","Maize","bulk_market","Rusizi","bicycle"
"81",2023-07-25,"12:53:43","Western","Rusizi","ibishyimbo","Field Beans","bulk_market","Rusizi","bicycle"
"82",2023-07-25,"12:53:43","Western","Rusizi","imyumbati","Cassava Root","bulk_market","Rusizi","bicycle"
"83",2023-07-25,"13:03:44","Eastern","Ngoma","ibijumbaby`umweru","Sweet Potatoes White","neighbour_farm","Ngoma","walk"
"84",2023-07-25,"13:03:44","Eastern","Ngoma","amateke","Taro","neighbour_farm","Ngoma","walk"
