"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"1",2023-04-13,"10:43:49","Northern","Gakenke","ibitoki(byoguteka)","Banana Cooking","wholesaler","Musanze","bicycle"
"2",2023-04-13,"12:13:06","Kigali","Gasabo","voka","Avocado","own_farm","Gasabo","bicycle,walk"
"3",2023-04-13,"12:13:06","Kigali","Gasabo","dodo","Amaranth Leaves","own_farm","Gasabo","bus,walk"
"4",2023-04-14,"12:57:02","Kigali","Kicukiro","inyanya","Tomato","bulk_market","Nyarungenge","moto,walk"
"5",2023-04-14,"13:16:07","Kigali","Gasabo","inyanya","Tomato","bulk_market","Nyarungenge","bicycle,moto,walk"
"6",2023-04-17,"11:56:38","Northern","Gicumbi","karoti","Carrot","wholesaler","Gicumbi","bicycle,walk"
"7",2023-04-17,"11:56:38","Northern","Gicumbi","inyanya","Tomato","wholesaler","Gicumbi","bicycle,moto,walk"
"8",2023-04-17,"12:09:19","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","walk"
"9",2023-04-17,"12:09:19","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk"
"10",2023-04-17,"12:15:52","Northern","Gicumbi","ibijumbaby`umweru","Sweet Potatoes White","wholesaler","Gicumbi","walk"
"11",2023-04-17,"12:15:52","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk"
"13",2023-04-17,"12:22:47","Eastern","Nyagatare","amatunda","Passionfruit","bulk_market","Kayonza","moto,walk"
"14",2023-04-17,"12:23:44","Northern","Gicumbi","amashu","Cabbage","bulk_market","Gicumbi","walk"
"15",2023-04-17,"12:23:44","Northern","Gicumbi","dodo","Amaranth Leaves","bulk_market","Gicumbi","walk"
"16",2023-04-17,"12:31:32","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","walk"
"17",2023-04-17,"12:31:32","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk"
"18",2023-04-17,"12:32:54","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk"
"19",2023-04-17,"12:32:54","Northern","Gicumbi","inyanya","Tomato","bulk_market","Gicumbi","walk"
"20",2023-04-17,"12:35:00","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk"
"21",2023-04-17,"12:41:16","Northern","Gicumbi","karoti","Carrot","bulk_market","Gicumbi","walk"
"22",2023-04-17,"12:41:16","Northern","Gicumbi","imiteja","Faba Beans","bulk_market","Gicumbi","walk"
"23",2023-04-17,"12:47:08","Northern","Gicumbi","ibitoki(by`imineke","Banana Beer","wholesaler","Gicumbi","walk"
"24",2023-04-17,"12:50:08","Northern","Gicumbi","imiteja","Faba Beans","bulk_market","Gicumbi","walk"
"25",2023-04-17,"12:50:08","Northern","Gicumbi","dodo","Amaranth Leaves","bulk_market","Gicumbi","walk"
"26",2023-04-17,"12:54:44","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","walk"
"27",2023-04-17,"12:54:44","Northern","Gicumbi","ibitoki(byoguteka)","Banana Cooking","wholesaler","Gicumbi","walk"
"28",2023-04-17,"12:59:44","Eastern","Nyagatare","ibinyomoro","Tree Tomato","bulk_market","Gasabo","moto,walk"
"31",2023-04-17,"13:02:03","Northern","Gicumbi","voka","Avocado","bulk_market","Gicumbi","walk"
"32",2023-04-17,"13:06:00","Northern","Gicumbi","ingano","Barley","wholesaler","Gicumbi","moto"
"33",2023-04-17,"13:06:00","Northern","Gicumbi","ibirayi","Potato","wholesaler","Gicumbi","moto"
"34",2023-04-17,"13:07:34","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","moto"
"35",2023-04-17,"13:07:34","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","moto"
