"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"1",2023-09-01,"22:00:33","Eastern","Kirehe","urusenda","Chilli","neighbour_farm","Kirehe","moto"
"2",2023-09-01,"21:54:20","Eastern","Kirehe","isombe","Cassava Leaves","neighbour_farm","Kirehe","moto"
"4",2023-09-01,"21:46:55","Southern","Kamonyi","umuceli","Rice","wholesaler","Other DistrictDistrict","bicycle"
"6",2023-09-01,"21:17:03","Eastern","Kayonza","ibishyimbo byumye","Field Beans","wholesaler","Kayonza","car"
"7",2023-09-01,"21:02:58","Northern","Gakenke","karoti","Carrot","wholesaler","Gakenke","bicycle"
"9",2023-09-01,"20:59:30","Kigali","Gasabo","imyembe","Mango","wholesaler","Gasabo","bicycle"
"10",2023-09-01,"20:53:43","Northern","Gakenke","intoryi","Aubergine","wholesaler","Gakenke","bicycle"
"11",2023-09-01,"20:21:47","Kigali","Kicukiro","isombe","Cassava Leaves","wholesaler","Other DistrictDistrict","moto"
"12",2023-09-01,"18:25:06","Eastern","Kayonza","uburo","Millet","wholesaler","Other DistrictDistrict","bicycle"
"13",2023-09-01,"18:19:15","Eastern","Kayonza","ibigori","Maize","wholesaler","Kayonza","bicycle"
"15",2023-09-01,"17:31:42","Eastern","Kirehe","inyanya","Tomato","cooperative","Kirehe","moto"
"16",2023-09-01,"17:25:47","Eastern","Kayonza","karoti","Carrot","neighbour_farm","Kayonza","bicycle"
"18",2023-09-01,"16:57:16","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Gicumbi","bicycle"
"19",2023-09-01,"16:53:49","Northern","Gicumbi","ubunyobwa","Ground Nuts","wholesaler","Gicumbi","bicycle"
"20",2023-09-01,"16:48:56","Northern","Gicumbi","urusenda","Chilli","wholesaler","Gicumbi","bicycle"
"21",2023-09-01,"16:46:01","Northern","Gicumbi","karoti","Carrot","wholesaler","Gicumbi","bicycle"
"22",2023-09-01,"16:44:18","Western","Nyamasheke","inanasi","Pineapple","wholesaler","Nyamasheke","walk"
"24",2023-09-01,"16:14:03","Kigali","Kicukiro","amatunda","Passionfruit","wholesaler","Kicukiro","bus"
"26",2023-09-01,"16:07:48","Kigali","Kicukiro","imyembe","Mango","wholesaler","Kicukiro","bus"
"27",2023-09-01,"16:05:11","Northern","Burera","ubunyobwa","Ground Nuts","wholesaler","Burera","walk"
"29",2023-09-01,"14:59:07","Eastern","Kirehe","ibinyomoro","Tree Tomato","wholesaler","Kirehe","moto"
"30",2023-09-01,"14:52:38","Eastern","Kirehe","amatunda","Passionfruit","wholesaler","Kirehe","moto"
"32",2023-09-01,"14:10:40","Northern","Gicumbi","amashu","Cabbage","wholesaler","Gicumbi","bicycle"
"33",2023-09-01,"14:08:13","Northern","Gicumbi","imiteja","Faba Beans","neighbour_farm","Gicumbi","bicycle"
"34",2023-09-01,"14:06:25","Southern","Ruhango","isombe","Cassava Leaves","neighbour_farm","Ruhango","walk"
"35",2023-09-01,"14:03:40","Eastern","Nyagatare","uburo","Millet","wholesaler","Nyagatare","car"
"36",2023-09-01,"13:39:28","Western","Rubavu","umuceli","Rice","wholesaler","Rubavu","bicycle"
"37",2023-09-01,"13:33:27","Western","Rubavu","ubunyobwa","Ground Nuts","wholesaler","Rubavu","bicycle"
"39",2023-09-01,"13:25:11","Western","Nyamasheke","ibitoki","Banana Cooking","neighbour_farm","Nyamasheke","bicycle"
"40",2023-09-01,"13:09:07","Southern","Kamonyi","urusenda","Chilli","wholesaler","Other DistrictDistrict","moto"
"41",2023-09-01,"13:06:06","Eastern","Ngoma","inyanya","Tomato","neighbour_farm","Ngoma","bicycle"
"42",2023-09-01,"13:05:26","Southern","Kamonyi","shufureri","Cauliflower","wholesaler","Other DistrictDistrict","car"
"43",2023-09-01,"13:01:32","Northern","Gicumbi","imyumbati","Cassava Root","wholesaler","Gicumbi","bicycle"
"44",2023-09-01,"12:59:42","Southern","Kamonyi","beterave","Beetroot","wholesaler","Other DistrictDistrict","car"
"45",2023-09-01,"12:47:35","Southern","Nyanza","soya","Soya Beans","neighbour_farm","Nyanza","bicycle"
"46",2023-09-01,"12:47:10","Western","Nyamasheke","ibigori","Maize","wholesaler","Nyamasheke","walk"
"47",2023-09-01,"12:43:52","Eastern","Gatsibo","soya","Soya Beans","wholesaler","Gatsibo","moto"
"48",2023-09-01,"12:38:20","Southern","Nyanza","amasaka","Sorghum","neighbour_farm","Nyanza","bicycle"
"49",2023-09-01,"12:36:20","Eastern","Gatsibo","uburo","Millet","wholesaler","Gatsibo","moto"
"50",2023-09-01,"12:26:39","Eastern","Nyagatare","intoryi","Aubergine","neighbour_farm","Nyagatare","moto"
"51",2023-09-01,"12:26:22","Southern","Ruhango","ipapayi","Papaya","neighbour_farm","Ruhango","bicycle"
"52",2023-09-01,"12:22:31","Southern","Nyaruguru","ibitoki","Banana Cooking","wholesaler","Nyaruguru","bicycle"
"53",2023-09-01,"12:21:21","Eastern","Gatsibo","ibigori","Maize","wholesaler","Gatsibo","moto"
"55",2023-09-01,"12:18:28","Eastern","Kirehe","imiteja","Faba Beans","wholesaler","Kirehe","bicycle"
"56",2023-09-01,"12:15:57","Eastern","Kirehe","karoti","Carrot","wholesaler","Kirehe","bicycle"
"58",2023-09-01,"12:12:21","Kigali","Nyarugenge","ibihaza","Pumpkin","wholesaler","Other DistrictDistrict","moto"
"59",2023-09-01,"12:11:58","Eastern","Ngoma","ibinyomoro","Tree Tomato","wholesaler","Ngoma","bicycle"
