"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"1",2024-03-20,"10:38:34","Southern","Nyanza","amashu","Cabbage","own_farm","Nyanza","bicycle"
"2",2024-03-20,"10:46:18","Southern","Nyanza","inyanya","Tomato","own_farm","Nyanza","bicycle,walk"
"3",2024-03-20,"10:49:50","Southern","Nyanza","amashu","Cabbage","own_farm","Nyanza","bicycle"
"4",2024-03-20,"10:52:41","Southern","Nyanza","urusenda","Chilli","own_farm","Nyanza","bicycle,walk"
"5",2024-03-20,"10:56:42","Southern","Nyanza","amashu","Cabbage","own_farm","Nyanza","bicycle,walk"
"6",2024-03-20,"11:00:30","Southern","Nyanza","amapera","Guava","own_farm","Nyanza","walk"
"7",2024-03-20,"11:09:05","Southern","Nyanza","amasaka","Sorghum","own_farm","Nyanza","bicycle"
"8",2024-03-20,"11:13:02","Southern","Nyanza","ibishyimbo","Field Beans","own_farm","Nyanza","bicycle,walk"
"9",2024-03-20,"11:16:02","Southern","Nyanza","ibishyimbo","Field Beans","own_farm","Nyanza","bicycle,walk"
"10",2024-03-20,"11:18:45","Southern","Nyanza","amasaka","Sorghum","own_farm","Nyanza","walk"
"11",2024-03-20,"11:22:57","Southern","Nyanza","ubunyobwa","Ground Nuts","own_farm","Gisagara,nyanza","bicycle"
"12",2024-03-20,"11:25:50","Southern","Nyanza","ubunyobwa","Ground Nuts","own_farm","Nyanza","bicycle,walk"
"13",2024-03-20,"11:28:28","Southern","Nyanza","amasaka","Sorghum","own_farm","Nyanza","bicycle,walk"
"14",2024-03-20,"11:31:10","Southern","Nyanza","ubunyobwa","Ground Nuts","own_farm","Nyanza","bicycle,walk"
"15",2024-03-20,"11:43:11","Southern","Nyanza","ibitunguru","Onion","wholesaler","Musanze","bicycle,car"
"16",2024-03-20,"11:47:32","Southern","Nyanza","ibitunguru","Onion","own_farm","Gisagara","bicycle,walk"
"17",2024-03-20,"11:50:14","Southern","Nyanza","ibitunguru","Onion","wholesaler","Nyanza","bicycle,car"
"18",2024-03-20,"11:53:57","Southern","Nyanza","isombe","Cassava Leaves","own_farm","Nyanza","bicycle,walk"
"19",2024-03-20,"11:57:22","Southern","Nyanza","ibitoki(by`imineke","Banana Beer","own_farm","Nyanza","walk"
"20",2024-03-20,"12:06:03","Southern","Nyanza","amapera","Guava","own_farm","Nyanza","walk"
"21",2024-03-20,"12:09:30","Southern","Nyanza","ibijumbaby`umuhondo","Sweet Potatoes Orange","own_farm","Nyanza","bicycle,walk"
"22",2024-03-20,"12:16:19","Southern","Nyanza","ibijumbaby`umuhondo","Sweet Potatoes Orange","own_farm","Nyanza","bicycle,walk"
"23",2024-03-20,"12:19:36","Southern","Nyanza","ibishyimbo","Field Beans","own_farm","Nyanza","bicycle,walk"
"24",2024-03-20,"14:40:20","Southern","Nyanza","amagi","Eggs","own_farm","Nyanza","walk"
"25",2024-03-20,"14:43:17","Southern","Nyanza","amagi","Eggs","own_farm","Nyanza","bicycle,walk"
"26",2024-03-20,"14:59:29","Southern","Nyanza","umuceri","Rice","wholesaler","Nyanza","bicycle"
"27",2024-03-20,"15:09:33","Southern","Nyanza","umuceri","Rice","wholesaler","Nyanza","bicycle,walk"
"28",2024-03-20,"22:07:58","Kigali","Nyarugenge","amashaza","Green Peas","wholesaler","Nyarugenge","moto"
"29",2024-03-20,"22:07:27","Eastern","Gatsibo","ibitunguru","Onion","wholesaler","Gatsibo","bicycle"
"30",2024-03-20,"22:05:54","Eastern","Kirehe","ibigori","Maize","neighbour_farm","Kirehe","moto"
"32",2024-03-20,"22:02:02","Western","Nyamasheke","ibitoki","Banana Cooking","own_farm","Nyamasheke","walk"
"33",2024-03-20,"22:00:05","Eastern","Gatsibo","beterave","Beetroot","wholesaler","Gatsibo","bicycle"
"34",2024-03-20,"21:40:59","Eastern","Bugesera","amatunda","Passionfruit","wholesaler","Karongi","bus"
"36",2024-03-20,"21:35:24","Eastern","Kirehe","inyanya","Tomato","wholesaler","Kirehe","bicycle"
"37",2024-03-20,"21:31:44","Eastern","Bugesera","imyembe","Mango","wholesaler","Karongi","bus"
"38",2024-03-20,"21:27:33","Western","Nyamasheke","imyumbati","Cassava Root","wholesaler","Nyamasheke","bicycle"
"39",2024-03-20,"21:16:10","Northern","Gakenke","amashu","Cabbage","neighbour_farm","Gakenke","moto"
"41",2024-03-20,"21:07:04","Western","Rutsiro","ibitunguru","Onion","wholesaler","Rutsiro","car"
"42",2024-03-20,"21:01:53","Western","Rutsiro","urusenda","Chilli","wholesaler","Rutsiro","car"
"43",2024-03-20,"21:00:43","Southern","Huye","ibitunguru","Onion","wholesaler","Don't Know","moto"
"45",2024-03-20,"20:52:17","Kigali","Nyarugenge","inyama z'inka","Cow Meat","wholesaler","Nyarugenge","car"
"47",2024-03-20,"20:40:12","Eastern","Nyagatare","karoti","Carrot","wholesaler","Nyagatare","bicycle"
"48",2024-03-20,"20:40:09","Eastern","Kirehe","amashu","Cabbage","neighbour_farm","Kirehe","moto"
"49",2024-03-20,"20:36:51","Eastern","Rwamagana","beterave","Beetroot","neighbour_farm","Rwamagana","bicycle"
"51",2024-03-20,"20:25:19","Eastern","Gatsibo","ibirayi","Potato","own_farm","Gatsibo","bicycle"
"53",2024-03-20,"20:21:08","Western","Nyamasheke","imyumbati","Cassava Root","wholesaler","Nyamasheke","walk"
"54",2024-03-20,"20:13:57","Western","Ngororero","intoryi","Aubergine","neighbour_farm","Ngororero","bicycle"
"55",2024-03-20,"20:03:33","Western","Nyamasheke","inyanya","Tomato","wholesaler","Nyamasheke","bicycle"
"56",2024-03-20,"19:59:33","Northern","Gicumbi","ibirayi","Potato","neighbour_farm","Burera","bicycle"
"57",2024-03-20,"19:55:43","Kigali","Gasabo","ibitunguru","Onion","wholesaler","Gasabo","car"
"58",2024-03-20,"19:55:08","Kigali","Kicukiro","imiteja","Faba Beans","neighbour_farm","Kicukiro","walk"
"59",2024-03-20,"19:52:12","Kigali","Gasabo","beterave","Beetroot","wholesaler","Gasabo","car"
"60",2024-03-20,"19:46:53","Northern","Burera","ibinyomoro","Tree Tomato","wholesaler","Musanze","bicycle"
"61",2024-03-20,"19:46:49","Eastern","Gatsibo","amashu","Cabbage","wholesaler","Don't Know","bicycle"
"62",2024-03-20,"19:32:18","Eastern","Rwamagana","inyanya","Tomato","wholesaler","Rwamagana","walk"
"63",2024-03-20,"19:30:23","Northern","Rulindo","ibijumba_by'_umweru","Sweet Potatoes White","neighbour_farm","Rulindo","bicycle"
"64",2024-03-20,"19:29:31","Northern","Rulindo","ibijumba_by'_umweru","Sweet Potatoes White","neighbour_farm","Rulindo","bicycle"
"65",2024-03-20,"19:27:17","Eastern","Kayonza","ibirayi","Potato","wholesaler","Kayonza","car"
"66",2024-03-20,"19:25:40","Eastern","Rwamagana","imiteja","Faba Beans","wholesaler","Rwamagana","walk"
"67",2024-03-20,"19:18:25","Kigali","Kicukiro","imboga za dodo","Amaranth Leaves","neighbour_farm","Kicukiro","bicycle"
"68",2024-03-20,"19:09:53","Northern","Rulindo","amashaza","Green Peas","neighbour_farm","Rulindo","walk"
"69",2024-03-20,"19:09:32","Southern","Huye","soya","Soya Beans","neighbour_farm","Huye","bicycle"
"70",2024-03-20,"19:06:20","Southern","Gisagara","ibitunguru","Onion","wholesaler","Gisagara","bicycle"
"71",2024-03-20,"19:00:22","Southern","Gisagara","inyanya","Tomato","neighbour_farm","Gisagara","bicycle"
"72",2024-03-20,"18:59:20","Northern","Burera","ibijumba_by'_umweru","Sweet Potatoes White","neighbour_farm","Burera","walk"
"73",2024-03-20,"18:55:33","Western","Rusizi","amafi","Fish","wholesaler","Rusizi","moto"
"74",2024-03-20,"18:54:03","Southern","Gisagara","amashu","Cabbage","neighbour_farm","Gisagara","bicycle"
"75",2024-03-20,"18:53:04","Western","Rubavu","karoti","Carrot","wholesaler","Rubavu","bicycle"
"76",2024-03-20,"18:42:04","Western","Rusizi","inanasi","Pineapple","wholesaler","Rusizi","bicycle"
"77",2024-03-20,"18:35:31","Northern","Gicumbi","imiteja","Faba Beans","neighbour_farm","Gicumbi","bicycle"
"80",2024-03-20,"18:21:51","Eastern","Kirehe","ingano za sayiri","Barley","wholesaler","Karongi","bicycle"
"81",2024-03-20,"18:06:01","Kigali","Kicukiro","ibirayi","Potato","wholesaler","Kicukiro","walk"
"82",2024-03-20,"18:03:48","Eastern","Rwamagana","ibisheke","Sugarcane","cooperative","Kicukiro","moto"
