"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"1",2023-11-09,"22:24:03","Eastern","Gatsibo","ibitunguru","Onion","wholesaler","Gatsibo","bus"
"2",2023-11-09,"21:47:39","Southern","Nyanza","amashu","Cabbage","cooperative","Nyanza","bicycle"
"3",2023-11-09,"21:14:56","Eastern","Kayonza","ibigori","Maize","wholesaler","Kayonza","bicycle"
"4",2023-11-09,"20:53:49","Western","Nyamasheke","karoti","Carrot","wholesaler","Don't Know","walk"
"5",2023-11-09,"20:52:39","Eastern","Kayonza","beterave","Beetroot","wholesaler","Kayonza","bicycle"
"6",2023-11-09,"19:46:14","Eastern","Nyagatare","inyanya","Tomato","neighbour_farm","Nyagatare","bicycle"
"10",2023-11-09,"18:58:48","Northern","Burera","ibirayi","Potato","neighbour_farm","Burera","bicycle"
"13",2023-11-09,"18:52:56","Southern","Nyamagabe","karoti","Carrot","own_farm","Nyamagabe","walk"
"14",2023-11-09,"18:29:27","Southern","Nyanza","ibigori","Maize","wholesaler","Nyanza","bicycle"
"16",2023-11-09,"18:19:15","Eastern","Kayonza","ibigori","Maize","wholesaler","Kayonza","moto"
"17",2023-11-09,"18:09:51","Southern","Huye","ibishyimbo byumye","Field Beans","wholesaler","Huye","bicycle"
"18",2023-11-09,"17:29:20","Northern","Gakenke","inyanya","Tomato","wholesaler","Gakenke","car"
"19",2023-11-09,"17:25:39","Northern","Gakenke","imboga za dodo","Amaranth Leaves","neighbour_farm","Gakenke","car"
"20",2023-11-09,"17:17:42","Eastern","Kayonza","ibigori","Maize","wholesaler","Kayonza","bicycle"
"21",2023-11-09,"17:11:04","Eastern","Kayonza","ibishyimbo byumye","Field Beans","wholesaler","Kayonza","bicycle"
"22",2023-11-09,"17:05:04","Eastern","Nyagatare","inyanya","Tomato","wholesaler","Nyagatare","walk"
"23",2023-11-09,"16:59:59","Northern","Gicumbi","inyanya","Tomato","cooperative","Nyagatare","car"
"24",2023-11-09,"16:53:46","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Nyagatare","car"
"25",2023-11-09,"16:47:31","Northern","Gicumbi","amashaza","Green Peas","neighbour_farm","Gicumbi","moto"
"26",2023-11-09,"16:28:35","Western","Rubavu","imiteja","Faba Beans","wholesaler","Gasabo","car"
"27",2023-11-09,"16:21:31","Western","Rubavu","urusenda","Chilli","wholesaler","Gasabo","car"
"28",2023-11-09,"16:10:03","Eastern","Bugesera","amashu","Cabbage","neighbour_farm","Bugesera","moto"
"29",2023-11-09,"15:41:55","Kigali","Kicukiro","intoryi","Aubergine","wholesaler","Bugesera","bicycle"
"30",2023-11-09,"15:37:42","Western","Nyamasheke","amasaka","Sorghum","neighbour_farm","Nyamasheke","bicycle"
"31",2023-11-09,"15:27:38","Eastern","Rwamagana","inanasi","Pineapple","neighbour_farm","Rwamagana","bicycle"
"32",2023-11-09,"15:23:27","Southern","Ruhango","inanasi","Pineapple","neighbour_farm","Ruhango","bicycle"
"33",2023-11-09,"15:21:34","Southern","Kamonyi","inanasi","Pineapple","neighbour_farm","Kamonyi","car"
"34",2023-11-09,"15:17:43","Southern","Kamonyi","amagi","Eggs","neighbour_farm","Kamonyi","car"
"35",2023-11-09,"15:08:02","Eastern","Kirehe","ibirayi","Potato","cooperative","Mozambique","car"
"36",2023-11-09,"14:35:16","Eastern","Ngoma","ibitunguru","Onion","wholesaler","Ngoma","walk"
"37",2023-11-09,"14:31:09","Northern","Gicumbi","imiteja","Faba Beans","neighbour_farm","Rulindo","car"
"38",2023-11-09,"14:26:27","Northern","Gicumbi","urusenda","Chilli","neighbour_farm","Rulindo","car"
"39",2023-11-09,"14:18:49","Eastern","Bugesera","ubunyobwa","Ground Nuts","wholesaler","Bugesera","bus"
"40",2023-11-09,"14:15:29","Eastern","Bugesera","ingano za sayiri","Barley","wholesaler","Bugesera","bus"
"41",2023-11-09,"11:06:35","Western","Rubavu","ibigori","Maize","wholesaler","Rubavu","car"
"42",2023-11-09,"11:00:39","Eastern","Kayonza","ibitunguru","Onion","wholesaler","Kayonza","walk"
"43",2023-11-09,"11:00:00","Western","Rubavu","ibishyimbo byumye","Field Beans","wholesaler","Rubavu","car"
"44",2023-11-09,"10:56:07","Eastern","Kayonza","imiteja","Faba Beans","wholesaler","Kayonza","car"
"45",2023-11-09,"10:27:15","Western","Rubavu","ibishyimbo byumye","Field Beans","wholesaler","Rubavu","car"
"46",2023-11-09,"10:26:35","Western","Nyamasheke","inyanya","Tomato","wholesaler","Don't Know","car"
"47",2023-11-09,"10:22:37","Western","Nyamasheke","imiteja","Faba Beans","wholesaler","Don't Know","bus"
"48",2023-11-09,"09:41:49","Southern","Huye","ibitoki","Banana Cooking","neighbour_farm","Huye","walk"
"49",2023-11-09,"09:17:58","Western","Nyamasheke","imiteja","Faba Beans","neighbour_farm","Don't Know","walk"
"50",2023-11-09,"09:12:34","Eastern","Bugesera","imiteja","Faba Beans","wholesaler","Bugesera","bicycle"
"51",2023-11-09,"09:11:31","Eastern","Kayonza","inyanya","Tomato","wholesaler","Kayonza","bicycle"
"52",2023-11-09,"09:10:03","Western","Nyamasheke","urusenda","Chilli","neighbour_farm","Don't Know","walk"
"53",2023-11-09,"09:09:22","Eastern","Gatsibo","avoka","Avocado","neighbour_farm","Gatsibo","bicycle"
"54",2023-11-09,"09:06:30","Eastern","Kayonza","imiteja","Faba Beans","wholesaler","Kayonza","bicycle"
"55",2023-11-09,"09:05:12","Western","Rutsiro","ibisheke","Sugarcane","wholesaler","Rutsiro","car"
"56",2023-11-09,"09:04:36","Southern","Ruhango","amagi","Eggs","neighbour_farm","Ruhango","walk"
"57",2023-11-09,"09:00:36","Eastern","Kayonza","ibirayi","Potato","wholesaler","Kayonza","bicycle"
"58",2023-11-09,"08:59:11","Western","Nyamasheke","imyumbati","Cassava Root","neighbour_farm","Nyamasheke","bicycle"
"59",2023-11-09,"08:58:29","Western","Nyamasheke","imboga za dodo","Amaranth Leaves","neighbour_farm","Nyamasheke","bicycle"
"60",2023-11-09,"08:58:13","Eastern","Kayonza","beterave","Beetroot","neighbour_farm","Kayonza","bicycle"
"63",2023-11-09,"08:57:00","Southern","Huye","ibitunguru","Onion","neighbour_farm","Gisagara","bicycle"
"65",2023-11-10,"18:59:17","Southern","Huye","ibitunguru","Onion","wholesaler","Don't Know","moto"
"68",2023-11-10,"18:46:47","Northern","Burera","ibirayi","Potato","neighbour_farm","Burera","walk"
"70",2023-11-10,"18:34:05","Eastern","Gatsibo","beterave","Beetroot","wholesaler","Gatsibo","walk"
"72",2023-11-10,"18:30:53","Western","Karongi","amashu","Cabbage","neighbour_farm","Karongi","bicycle"
"73",2023-11-10,"16:08:08","Southern","Nyanza","ibitunguru","Onion","neighbour_farm","Nyanza","bicycle"
"74",2023-11-10,"16:02:20","Southern","Nyanza","amashu","Cabbage","neighbour_farm","Nyanza","bicycle"
"75",2023-11-10,"15:59:35","Western","Nyamasheke","imboga za dodo","Amaranth Leaves","own_farm","Nyamasheke","bicycle"
"76",2023-11-10,"15:18:23","Eastern","Ngoma","soya","Soya Beans","wholesaler","Ngoma","bicycle"
"77",2023-11-10,"15:14:23","Eastern","Ngoma","amasaka","Sorghum","wholesaler","Kayonza","car"
"78",2023-11-10,"15:10:32","Eastern","Ngoma","ibigori","Maize","wholesaler","Ngoma","bicycle"
"79",2023-11-10,"13:58:15","Eastern","Kirehe","amateke ya taro","Taro","wholesaler","Kirehe","bicycle"
"80",2023-11-10,"13:51:57","Northern","Burera","inyanya","Tomato","wholesaler","Burera","car"
"81",2023-11-10,"13:46:37","Northern","Burera","intoryi","Aubergine","wholesaler","Burera","car"
"82",2023-11-10,"12:28:59","Southern","Ruhango","ibitunguru","Onion","wholesaler","Ruhango","walk"
"83",2023-11-10,"12:22:28","Southern","Ruhango","intoryi","Aubergine","neighbour_farm","Ruhango","walk"
"84",2023-11-10,"11:18:45","Kigali","Kicukiro","imiteja","Faba Beans","wholesaler","Rwamagana","bicycle"
"85",2023-11-10,"11:15:02","Kigali","Kicukiro","intoryi","Aubergine","wholesaler","Rwamagana","bicycle"
"86",2023-11-10,"10:22:24","Northern","Musanze","ibijumba_by'_umweru","Sweet Potatoes White","neighbour_farm","Musanze","car"
"87",2023-11-10,"09:45:48","Western","Nyamasheke","umuceli","Rice","wholesaler","Nyamasheke","walk"
"88",2023-11-10,"09:07:32","Eastern","Kirehe","soya","Soya Beans","wholesaler","Kirehe","bicycle"
"89",2023-11-10,"08:52:34","Kigali","Gasabo","ibinyomoro","Tree Tomato","wholesaler","Nyarugenge","bus"
"90",2023-11-10,"08:47:41","Kigali","Gasabo","inanasi","Pineapple","wholesaler","Nyarugenge","bus"
"91",2023-11-11,"21:35:53","Kigali","Gasabo","ibitunguru","Onion","cooperative","Don't Know","bicycle"
"92",2023-11-11,"21:26:15","Eastern","Gatsibo","ibitunguru","Onion","own_farm","Gatsibo","bicycle"
"93",2023-11-11,"20:29:56","Western","Karongi","imiteja","Faba Beans","cooperative","Karongi","bicycle"
"94",2023-11-11,"20:26:42","Southern","Nyanza","ibitunguru","Onion","wholesaler","Nyanza","moto"
"95",2023-11-11,"20:26:24","Eastern","Kayonza","ibinyomoro","Tree Tomato","wholesaler","Don't Know","moto"
"96",2023-11-11,"20:19:38","Eastern","Kayonza","inanasi","Pineapple","wholesaler","Don't Know","moto"
"97",2023-11-11,"20:08:51","Eastern","Kayonza","amatunda","Passionfruit","wholesaler","Don't Know","moto"
"98",2023-11-11,"19:54:08","Eastern","Gatsibo","ibirayi","Potato","neighbour_farm","Gatsibo","bicycle"
"99",2023-11-11,"19:13:41","Kigali","Gasabo","imiteja","Faba Beans","neighbour_farm","Gicumbi","bicycle"
"100",2023-11-11,"19:09:38","Kigali","Gasabo","intoryi","Aubergine","neighbour_farm","Gasabo","bicycle"
"101",2023-11-11,"19:07:02","Kigali","Gasabo","inyanya","Tomato","wholesaler","Gasabo","bus"
"102",2023-11-11,"18:49:40","Kigali","Nyarugenge","shufureri","Cauliflower","wholesaler","Don't Know","walk"
"104",2023-11-11,"18:35:32","Eastern","Kayonza","amasaka","Sorghum","wholesaler","Kayonza","moto"
"105",2023-11-11,"18:32:59","Eastern","Kayonza","ibigori","Maize","cooperative","Kayonza","bicycle"
"106",2023-11-11,"18:29:14","Eastern","Kayonza","ibishyimbo byumye","Field Beans","cooperative","Kayonza","bicycle"
"107",2023-11-11,"17:22:36","Southern","Ruhango","imyumbati","Cassava Root","wholesaler","Ruhango","bicycle"
"108",2023-11-11,"17:16:46","Northern","Rulindo","imiteja","Faba Beans","cooperative","Rulindo","bicycle"
"110",2023-11-11,"15:54:10","Eastern","Bugesera","inanasi","Pineapple","own_farm","Bugesera","walk"
"111",2023-11-11,"15:04:10","Kigali","Gasabo","ibirayi","Potato","wholesaler","Gasabo","moto"
"112",2023-11-11,"14:35:27","Western","Nyamasheke","amashu","Cabbage","wholesaler","Nyamasheke","bicycle"
"113",2023-11-11,"14:08:32","Kigali","Gasabo","amafi","Fish","wholesaler","Gasabo","moto"
"114",2023-11-11,"13:54:06","Southern","Kamonyi","ibijumba_by'_umweru","Sweet Potatoes White","wholesaler","Kamonyi","bicycle"
"115",2023-11-11,"13:50:56","Southern","Nyanza","umuceli","Rice","wholesaler","Nyanza","bicycle"
"116",2023-11-11,"13:47:34","Southern","Nyanza","ibigori","Maize","neighbour_farm","Nyanza","bicycle"
"117",2023-11-11,"13:46:55","Southern","Kamonyi","imboga za dodo","Amaranth Leaves","neighbour_farm","Kamonyi","walk"
"118",2023-11-11,"13:46:04","Eastern","Kayonza","amashu","Cabbage","cooperative","Kayonza","bicycle"
"119",2023-11-11,"13:45:02","Eastern","Kirehe","ibijumba_by'_umweru","Sweet Potatoes White","own_farm","Kirehe","moto"
"120",2023-11-11,"13:43:21","Southern","Nyanza","ibishyimbo byumye","Field Beans","neighbour_farm","Nyanza","bicycle"
"121",2023-11-11,"13:36:42","Eastern","Ngoma","ibishyimbo byumye","Field Beans","neighbour_farm","Ngoma","bicycle"
"123",2023-11-11,"13:26:37","Kigali","Nyarugenge","inyama z'inka","Cow Meat","wholesaler","Nyarugenge","moto"
"124",2023-11-11,"13:01:55","Kigali","Nyarugenge","ibihaza","Pumpkin","wholesaler","Nyarugenge","walk"
"125",2023-11-11,"12:51:42","Eastern","Kirehe","amashaza","Green Peas","neighbour_farm","Ngoma","car"
"126",2023-11-11,"12:42:19","Eastern","Rwamagana","ibitunguru","Onion","wholesaler","Rwamagana","moto"
"127",2023-11-11,"12:29:32","Northern","Musanze","amatunda","Passionfruit","wholesaler","Musanze","car"
"128",2023-11-11,"12:28:24","Eastern","Rwamagana","ibitunguru","Onion","wholesaler","Rwamagana","car"
"129",2023-11-11,"12:26:21","Northern","Musanze","imyembe","Mango","wholesaler","Nyarugenge","car"
"130",2023-11-11,"12:25:16","Southern","Nyanza","urusenda","Chilli","wholesaler","Nyanza","walk"
"131",2023-11-11,"11:50:33","Northern","Musanze","ibihaza","Pumpkin","wholesaler","Gakenke","car"
"132",2023-11-11,"11:48:18","Kigali","Nyarugenge","imboga za dodo","Amaranth Leaves","wholesaler","Nyarugenge","bicycle"
"133",2023-11-11,"11:44:40","Northern","Musanze","imyumbati","Cassava Root","wholesaler","Gakenke","car"
"135",2023-11-11,"11:23:34","Western","Nyamasheke","inanasi","Pineapple","wholesaler","Nyamasheke","bicycle"
"136",2023-11-11,"11:16:52","Southern","Nyanza","inyanya","Tomato","neighbour_farm","Nyanza","walk"
"137",2023-11-11,"11:12:40","Western","Karongi","soya","Soya Beans","neighbour_farm","Karongi","walk"
"138",2023-11-11,"11:12:00","Western","Nyamasheke","amafi","Fish","wholesaler","Nyamasheke","car"
"139",2023-11-11,"11:10:22","Western","Karongi","ibigori","Maize","wholesaler","Don't Know","bicycle"
"140",2023-11-11,"11:07:14","Western","Karongi","ibishyimbo byumye","Field Beans","neighbour_farm","Karongi","bicycle"
"141",2023-11-11,"11:05:38","Western","Nyamasheke","amafi","Fish","wholesaler","Nyamasheke","car"
"142",2023-11-11,"10:48:50","Kigali","Kicukiro","intoryi","Aubergine","wholesaler","Kamonyi","moto"
"143",2023-11-11,"10:34:25","Eastern","Kirehe","soya","Soya Beans","wholesaler","Kayonza","car"
"144",2023-11-11,"10:23:43","Southern","Muhanga","icyayi","Tea","wholesaler","Muhanga","walk"
"145",2023-11-11,"10:19:44","Eastern","Kayonza","inyanya","Tomato","wholesaler","Kayonza","walk"
"146",2023-11-11,"10:12:58","Western","Rusizi","ubunyobwa","Ground Nuts","wholesaler","Rusizi","walk"
"147",2023-11-11,"10:12:09","Eastern","Nyagatare","amashu","Cabbage","neighbour_farm","Nyagatare","bicycle"
"148",2023-11-11,"10:08:35","Eastern","Nyagatare","ibitoki","Banana Cooking","wholesaler","Nyagatare","bicycle"
"149",2023-11-11,"10:05:49","Eastern","Gatsibo","ibinyomoro","Tree Tomato","wholesaler","Kayonza","car"
"150",2023-11-11,"10:03:22","Eastern","Kayonza","imboga za dodo","Amaranth Leaves","wholesaler","Kayonza","bicycle"
"151",2023-11-11,"10:02:23","Southern","Nyaruguru","ibinyomoro","Tree Tomato","wholesaler","Huye","bus"
"152",2023-11-11,"10:00:42","Eastern","Gatsibo","amatunda","Passionfruit","wholesaler","Kayonza","car"
"153",2023-11-11,"09:58:17","Southern","Nyaruguru","inyanya","Tomato","wholesaler","Huye","bus"
