"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"1",2023-12-04,"22:32:05","Southern","Kamonyi","imiteja","Faba Beans","neighbour_farm","Kamonyi","bicycle"
"2",2023-12-04,"22:28:06","Southern","Kamonyi","karoti","Carrot","own_farm","Kamonyi","bicycle"
"3",2023-12-04,"22:10:28","Northern","Gakenke","ibinyomoro","Tree Tomato","neighbour_farm","Gakenke","bicycle"
"4",2023-12-04,"22:09:38","Eastern","Kirehe","intoryi","Aubergine","wholesaler","Kirehe","bicycle"
"5",2023-12-04,"22:07:39","Eastern","Gatsibo","amasaka","Sorghum","wholesaler","Gatsibo","bicycle"
"6",2023-12-04,"22:06:14","Northern","Gakenke","inyanya","Tomato","neighbour_farm","Gakenke","bicycle"
"7",2023-12-04,"22:02:19","Northern","Gakenke","beterave","Beetroot","neighbour_farm","Gakenke","bicycle"
"8",2023-12-04,"22:01:22","Eastern","Gatsibo","uburo","Millet","wholesaler","Gatsibo","bicycle"
"10",2023-12-04,"21:54:06","Southern","Muhanga","beterave","Beetroot","neighbour_farm","Bugesera","walk"
"11",2023-12-04,"21:53:41","Eastern","Gatsibo","ingano za sayiri","Barley","wholesaler","Gatsibo","bicycle"
"12",2023-12-04,"21:49:28","Kigali","Gasabo","ibishyimbo byumye","Field Beans","wholesaler","Rulindo","car"
"13",2023-12-04,"21:49:17","Southern","Nyamagabe","urusenda","Chilli","neighbour_farm","Nyamagabe","walk"
"14",2023-12-04,"21:43:29","Kigali","Gasabo","amagi","Eggs","wholesaler","Rulindo","car"
"15",2023-12-04,"21:40:50","Eastern","Rwamagana","inanasi","Pineapple","own_farm","Bugesera","bicycle"
"16",2023-12-04,"21:32:17","Southern","Kamonyi","intoryi","Aubergine","neighbour_farm","Kamonyi","truck"
"17",2023-12-04,"21:28:28","Western","Rusizi","ibigori","Maize","neighbour_farm","Rusizi","bicycle"
"18",2023-12-04,"21:23:23","Eastern","Nyagatare","amashu","Cabbage","neighbour_farm","Nyagatare","bicycle"
"19",2023-12-04,"21:16:47","Southern","Huye","soya","Soya Beans","wholesaler","Huye","bicycle"
"20",2023-12-04,"21:16:21","Western","Nyamasheke","ibitoki","Banana Cooking","neighbour_farm","Nyamasheke","bicycle"
"21",2023-12-04,"20:59:08","Western","Nyamasheke","imboga za dodo","Amaranth Leaves","neighbour_farm","Nyamasheke","walk"
"22",2023-12-04,"20:36:02","Western","Rubavu","ibishyimbo byumye","Field Beans","wholesaler","Rubavu","bus"
"23",2023-12-04,"19:51:17","Northern","Gakenke","imboga za dodo","Amaranth Leaves","neighbour_farm","Gakenke","bicycle"
"24",2023-12-04,"19:49:52","Eastern","Gatsibo","ibitunguru","Onion","own_farm","Gatsibo","bicycle"
"26",2023-12-04,"19:26:29","Eastern","Bugesera","inanasi","Pineapple","wholesaler","Don't Know","bicycle"
"30",2023-12-04,"18:35:37","Northern","Burera","avoka","Avocado","neighbour_farm","Burera","bicycle"
"31",2023-12-04,"18:33:26","Western","Ngororero","intoryi","Aubergine","neighbour_farm","Ngororero","bicycle"
