"","date","time","Province","District","items_sold_label","Food Item - English","source_channel","source_location","market_transport"
"1",2024-02-20,"11:14:12","Western","Ngororero","amashu","Cabbage","wholesaler","Ngororero","walk"
"2",2024-02-20,"11:14:12","Western","Ngororero","karoti","Carrot","wholesaler","Ngororero","walk"
"3",2024-02-21,"23:58:08","Northern","Gicumbi","ibitunguru","Onion","wholesaler","Nyagatare","car"
"4",2024-02-21,"23:49:39","Northern","Gicumbi","amashaza","Green Peas","neighbour_farm","Nyagatare","car"
"5",2024-02-21,"23:15:56","Eastern","Gatsibo","amateke ya taro","Taro","neighbour_farm","Gatsibo","bicycle"
"6",2024-02-21,"23:13:56","Eastern","Kayonza","ibitunguru","Onion","neighbour_farm","Kayonza","bicycle"
"7",2024-02-21,"23:08:03","Eastern","Kayonza","karoti","Carrot","neighbour_farm","Kayonza","bicycle"
"8",2024-02-21,"23:02:46","Eastern","Kayonza","beterave","Beetroot","wholesaler","Kayonza","bicycle"
"9",2024-02-21,"22:48:44","Eastern","Kirehe","ibinyomoro","Tree Tomato","wholesaler","Kirehe","moto"
"10",2024-02-21,"22:44:39","Eastern","Kirehe","amatunda","Passionfruit","wholesaler","Kirehe","moto"
"11",2024-02-21,"22:42:43","Southern","Nyamagabe","urusenda","Chilli","neighbour_farm","Nyamagabe","walk"
"13",2024-02-21,"22:14:42","Eastern","Kayonza","ibitunguru","Onion","wholesaler","Kayonza","walk"
"14",2024-02-21,"22:13:20","Eastern","Gatsibo","ibirayi","Potato","neighbour_farm","Gatsibo","bicycle"
"15",2024-02-21,"22:09:39","Eastern","Kayonza","karoti","Carrot","neighbour_farm","Kayonza","car"
"16",2024-02-21,"22:03:23","Kigali","Kicukiro","ibijumba_bisa_oranje","Sweet Potatoes Orange","neighbour_farm","Kicukiro","car"
"17",2024-02-21,"22:02:43","Eastern","Kayonza","beterave","Beetroot","wholesaler","Kayonza","car"
"19",2024-02-21,"21:49:24","Western","Ngororero","intoryi","Aubergine","neighbour_farm","Ngororero","bicycle"
"20",2024-02-21,"21:27:22","Eastern","Nyagatare","amashu","Cabbage","neighbour_farm","Nyagatare","bicycle"
"21",2024-02-21,"21:18:45","Eastern","Gatsibo","ibitunguru","Onion","wholesaler","Gatsibo","car"
"22",2024-02-21,"21:16:59","Northern","Burera","ibijumba_bisa_oranje","Sweet Potatoes Orange","neighbour_farm","Burera","bicycle"
"23",2024-02-21,"21:11:48","Eastern","Rwamagana","amatunda","Passionfruit","own_farm","Rwamagana","walk"
"24",2024-02-21,"21:09:36","Southern","Kamonyi","imiteja","Faba Beans","cooperative","Kamonyi","bicycle"
"25",2024-02-21,"21:08:19","Northern","Gakenke","ibinyomoro","Tree Tomato","neighbour_farm","Gakenke","walk"
"26",2024-02-21,"21:05:53","Eastern","Rwamagana","amapera","Guava","neighbour_farm","Rwamagana","walk"
"27",2024-02-21,"21:05:17","Kigali","Kicukiro","ibitoki","Banana Cooking","wholesaler","Kicukiro","walk"
"28",2024-02-21,"21:04:58","Southern","Kamonyi","karoti","Carrot","neighbour_farm","Kamonyi","moto"
"29",2024-02-21,"21:04:14","Northern","Gakenke","inyanya","Tomato","wholesaler","Gakenke","bicycle"
"30",2024-02-21,"21:02:51","Southern","Huye","ibishyimbo byumye","Field Beans","wholesaler","Huye","walk"
"31",2024-02-21,"21:00:25","Northern","Gakenke","beterave","Beetroot","wholesaler","Gakenke","bicycle"
"32",2024-02-21,"20:54:25","Northern","Burera","ibirayi","Potato","neighbour_farm","Burera","walk"
"33",2024-02-21,"20:50:24","Eastern","Kayonza","ibigori","Maize","wholesaler","Kayonza","bicycle"
"35",2024-02-21,"20:46:04","Northern","Burera","ibinyomoro","Tree Tomato","wholesaler","Burera","car"
